year.month.day;caudal
1937-08-01;34.00000
1937-09-01;32.50000
1937-10-01;46.50000
1937-11-01;98.50000
1937-12-01;182.00000
1938-01-01;106.00000
1938-02-01;74.50000
1938-03-01;61.00000
1938-04-01;42.50000
1938-05-01;42.50000
1938-06-01;45.00000
1938-07-01;40.99550
1938-08-01;37.49550
1938-09-01;37.99550
1938-10-01;47.49550
1938-11-01;36.49550
1938-12-01;36.49934
1939-01-01;51.50000
1939-02-01;43.00000
1939-03-01;36.80000
1939-04-01;32.00000
1939-05-01;32.00000
1939-06-01;31.50000
1939-07-01;25.69550
1939-08-01;25.69812
1939-09-01;29.00000
1939-10-01;33.50000
1939-11-01;35.50000
1939-12-01;40.00000
1940-01-01;40.50000
1940-02-01;35.00000
1940-03-01;31.50000
1940-04-01;28.50000
1940-05-01;28.50000
1940-06-01;30.00000
1940-07-01;30.00450
1940-08-01;29.10450
1940-09-01;33.20450
1940-10-01;48.50450
1940-11-01;96.00450
1940-12-01;141.01480
1941-01-01;164.00000
1941-02-01;83.50000
1941-03-01;56.30000
1941-04-01;49.10000
1941-05-01;57.50000
1941-06-01;50.00000
1941-07-01;44.50450
1941-08-01;47.50450
1941-09-01;55.70450
1941-10-01;136.04500
1941-11-01;170.04500
1941-12-01;387.00450
1942-01-01;415.00000
1942-02-01;281.00000
1942-03-01;170.00000
1942-04-01;96.50000
1942-05-01;84.20000
1942-06-01;78.00000
1942-07-01;66.20038
1942-08-01;66.40000
1942-09-01;70.40000
1942-10-01;88.20000
1942-11-01;151.00000
1942-12-01;144.00000
1943-01-01;160.00000
1943-02-01;103.00000
1943-03-01;77.30000
1943-04-01;65.50000
1943-05-01;60.50000
1943-06-01;61.00000
1943-07-01;56.99604
1943-08-01;53.00000
1943-09-01;50.20000
1943-10-01;67.50000
1943-11-01;87.20000
1943-12-01;91.00000
1944-01-01;91.00000
1944-02-01;91.30000
1944-03-01;62.50000
1944-04-01;57.50000
1944-05-01;53.20000
1944-06-01;50.50000
1944-07-01;49.50450
1944-08-01;45.50450
1944-09-01;55.50450
1944-10-01;82.20450
1944-11-01;133.03660
1944-12-01;199.00000
1945-01-01;123.00000
1945-02-01;120.00000
1945-03-01;65.30000
1945-04-01;59.50000
1945-05-01;59.00000
1945-06-01;55.50000
1945-07-01;47.50450
1945-08-01;42.50450
1945-09-01;45.40450
1945-10-01;50.50450
1945-11-01;46.00450
1945-12-01;46.10450
1946-01-01;44.20129
1946-02-01;39.50000
1946-03-01;40.00000
1946-04-01;34.30000
1946-05-01;36.30000
1946-06-01;39.00000
1946-07-01;38.69550
1946-08-01;38.49550
1946-09-01;33.79550
1946-10-01;35.99862
1946-11-01;51.00000
1946-12-01;38.50000
1947-01-01;45.70000
1947-02-01;44.60000
1947-03-01;33.20000
1947-04-01;28.00000
1947-05-01;27.80000
1947-06-01;28.00000
1947-07-01;25.99550
1947-08-01;25.59690
1947-09-01;30.00000
1947-10-01;33.50000
1947-11-01;66.50000
1947-12-01;64.40000
1948-01-01;54.00000
1948-02-01;41.50000
1948-03-01;31.10000
1948-04-01;23.80000
1948-05-01;28.50000
1948-06-01;28.80000
1948-07-01;28.99578
1948-08-01;27.80000
1948-09-01;34.00000
1948-10-01;58.00000
1948-11-01;93.50000
1948-12-01;150.00000
1949-01-01;100.00000
1949-02-01;61.50000
1949-03-01;43.40000
1949-04-01;39.30000
1949-05-01;37.00000
1949-06-01;38.50000
1949-07-01;33.19818
1949-08-01;35.50000
1949-09-01;35.10000
1949-10-01;38.60000
1949-11-01;55.00000
1949-12-01;42.00000
1950-01-01;40.20000
1950-02-01;35.20000
1950-03-01;30.20000
1950-04-01;27.00000
1950-05-01;29.00000
1950-06-01;35.00000
1950-07-01;31.49550
1950-08-01;26.99550
1950-09-01;28.09550
1950-10-01;36.99550
1950-11-01;55.39877
1950-12-01;76.60000
1951-01-01;59.50000
1951-02-01;35.90000
1951-03-01;29.20000
1951-04-01;26.80000
1951-05-01;29.80000
1951-06-01;30.70000
1951-07-01;30.10450
1951-08-01;28.50356
1951-09-01;27.10000
1951-10-01;26.70000
1951-11-01;41.60000
1951-12-01;43.90000
1952-01-01;45.10000
1952-02-01;40.80000
1952-03-01;32.40000
1952-04-01;28.30000
1952-05-01;29.60000
1952-06-01;32.00000
1952-07-01;31.79550
1952-08-01;30.89550
1952-09-01;38.09550
1952-10-01;48.49550
1952-11-01;64.99598
1952-12-01;91.50000
1953-01-01;65.70000
1953-02-01;60.90000
1953-03-01;49.00000
1953-04-01;38.20000
1953-05-01;36.10000
1953-06-01;40.70000
1953-07-01;30.20450
1953-08-01;35.30016
1953-09-01;43.90000
1953-10-01;57.60000
1953-11-01;217.00000
1953-12-01;377.00000
1954-01-01;236.00000
1954-02-01;165.00000
1954-03-01;105.00000
1954-04-01;80.60000
1954-05-01;69.20000
1954-06-01;60.00000
1954-07-01;54.30450
1954-08-01;52.00450
1954-09-01;53.50450
1954-10-01;58.70450
1954-11-01;90.40096
1954-12-01;84.10000
1955-01-01;88.90000
1955-02-01;61.90000
1955-03-01;51.00000
1955-04-01;42.40000
1955-05-01;44.40000
1955-06-01;42.70000
1955-07-01;39.30450
1955-08-01;37.10450
1955-09-01;37.00450
1955-10-01;42.40450
1955-11-01;66.90450
1955-12-01;65.20450
1956-01-01;54.70174
1956-02-01;41.80000
1956-03-01;33.20000
1956-04-01;29.30000
1956-05-01;31.30000
1956-06-01;32.30000
1956-07-01;30.09550
1956-08-01;27.79550
1956-09-01;28.19920
1956-10-01;35.20000
1956-11-01;35.60000
1956-12-01;31.60000
1957-01-01;33.50000
1957-02-01;34.20000
1957-03-01;30.50000
1957-04-01;28.60000
1957-05-01;28.60000
1957-06-01;32.50000
1957-07-01;29.80450
1957-08-01;27.10450
1957-09-01;28.80450
1957-10-01;50.40450
1957-11-01;97.80138
1957-12-01;141.00000
1958-01-01;117.00000
1958-02-01;67.70000
1958-03-01;58.60000
1958-04-01;41.20000
1958-05-01;37.40000
1958-06-01;37.90000
