day.month.year;caudal
01/06/2002;46.983
01/07/2002;48.657
01/08/2002;51.335
01/09/2002;44.588
01/10/2002;103.154
01/11/2002;198.247
01/12/2002;232.0815
01/01/2003;
01/02/2003;138.945
01/03/2003;112.055
01/04/2003;80.426
01/05/2003;67.372
01/06/2003;65.109
01/07/2003;47.846
01/08/2003;52.044
01/09/2003;54.222
01/10/2003;61.352
01/11/2003;81.923
01/12/2003;86.7735
01/01/2004;82.1575
01/02/2004;77.474
01/03/2004;51.239
01/04/2004;42.86
01/05/2004;44.694
01/06/2004;44.242
01/07/2004;39.237
01/08/2004;38.175
01/09/2004;36.72
01/10/2004;38.391
01/11/2004;33.811
01/12/2004;53.9035
01/01/2005;58.652
01/02/2005;43.6305
01/03/2005;30.772
01/04/2005;29.899
01/05/2005;30.238
01/06/2005;32.91
01/07/2005;38.874
01/08/2005;25.886
01/09/2005;36.413
01/10/2005;77.14
01/11/2005;
01/12/2005;
01/01/2006;
01/02/2006;
01/03/2006;
01/04/2006;
01/05/2006;
01/06/2006;
01/07/2006;
01/08/2006;
01/09/2006;
01/10/2006;
01/11/2006;
01/12/2006;
01/01/2007;
01/02/2007;
01/03/2007;
01/04/2007;
01/05/2007;
01/06/2007;
01/07/2007;
01/08/2007;
01/09/2007;
01/10/2007;
01/11/2007;
01/12/2007;
01/01/2008;
01/02/2008;
01/03/2008;
01/04/2008;
01/05/2008;
01/06/2008;
01/07/2008;
01/08/2008;
01/09/2008;
01/10/2008;
01/11/2008;
01/12/2008;
01/01/2009;
01/02/2009;
01/03/2009;
01/04/2009;
01/05/2009;
01/06/2009;
01/07/2009;
01/08/2009;
01/09/2009;
01/10/2009;
01/11/2009;
01/12/2009;
01/01/2010;
01/02/2010;
01/03/2010;
01/04/2010;
01/05/2010;
01/06/2010;
01/07/2010;32.02
01/08/2010;30.071
01/09/2010;25.733
01/10/2010;25.499
01/11/2010;23.16725
01/12/2010;20.2876
01/01/2011;20.5034
01/02/2011;25.8
01/03/2011;23.7715
01/04/2011;22.1335
01/05/2011;20.74
01/06/2011;20.965
01/07/2011;20.975
01/08/2011;21.304
01/09/2011;22.493
01/10/2011;35.077
01/11/2011;35.76625
01/12/2011;38.0356
01/01/2012;54.0188
01/02/2012;35.2184
01/03/2012;33.56475
01/04/2012;30.684
01/05/2012;31.72
01/06/2012;31.832
01/07/2012;31.728
01/08/2012;30.461
01/09/2012;30.909
01/10/2012;31.112
01/11/2012;37.12275
01/12/2012;33.0872
01/01/2013;56.107
01/02/2013;47.4596
01/03/2013;33.345
01/04/2013;22.831
01/05/2013;23.111
01/06/2013;24.893
01/07/2013;24.069
01/08/2013;25.383
01/09/2013;31.503
01/10/2013;34.143
01/11/2013;48.8865
01/12/2013;55.448
01/01/2014;48.1492
01/02/2014;38.0592
01/03/2014;30.14175
01/04/2014;25.611
01/05/2014;23.59
01/06/2014;22.887
01/07/2014;23.032
01/08/2014;22.969
01/09/2014;22.143
01/10/2014;24.4115
01/11/2014;18.46225
01/12/2014;44.606081871345
01/01/2015;20.755
01/02/2015;24.8592
01/03/2015;22.71325
01/04/2015;25.98
01/05/2015;19.028
01/06/2015;18.704
01/07/2015;18.208
01/08/2015;19.201
01/09/2015;29.615
01/10/2015;33.541
01/11/2015;63.38675
01/12/2015;97.7236
01/01/2016;89.4436
01/02/2016;71.652
01/03/2016;51.46375
01/04/2016;40.764
01/05/2016;41.653
01/06/2016;50.173
01/07/2016;38.494
01/08/2016;37.928
01/09/2016;44.745
01/10/2016;77.9935
01/11/2016;109.11325
01/12/2016;41.2442212389381
01/01/2017;111.6124
01/02/2017;78.7576
01/03/2017;48.995
01/04/2017;38.329
01/05/2017;42.027
01/06/2017;42.17
01/07/2017;41.671
01/08/2017;36.463
01/09/2017;28.731
01/10/2017;37.508
01/11/2017;37.99025
01/12/2017;36.6538
01/01/2018;34.6665
01/02/2018;46.3704
01/03/2018;31.23725
01/04/2018;24.0055
01/05/2018;25.246
01/06/2018;26.521
01/07/2018;26.163
01/08/2018;25.458
01/09/2018;26.886
01/10/2018;29.32
01/11/2018;34.3695
01/12/2018;26.81362
01/01/2019;39.6628
01/02/2019;37.7126666666667
01/03/2019;29.02475
01/04/2019;26.6
01/05/2019;26.094
01/06/2019;30
01/07/2019;23.387
01/08/2019;22.676
01/09/2019;23.035
01/10/2019;16.17
01/11/2019;13.238
01/12/2019;11.661
01/01/2020;27.112
01/02/2020;23.869
01/03/2020;23
01/04/2020;21
01/05/2020;20
01/06/2020;19
01/07/2020;19
01/08/2020;18
01/09/2020;17
01/10/2020;17
01/11/2020;19
01/12/2020;18
01/01/2021;19
01/02/2021;24
01/03/2021;23
01/04/2021;21
01/05/2021;19
01/06/2021;20.1333333333333
01/07/2021;17.9354838709677
01/08/2021;17.2258064516129
01/09/2021;16.2
01/10/2021;15.2903225806452
01/11/2021;12.9333333333333
01/12/2021;12.5714285714286
01/01/2022;27
01/02/2022;22.12
01/03/2022;16.2875
01/04/2022;14.4966666666667
01/05/2022;15.892
01/06/2022;17.46
01/07/2022;16.7161290322581
01/08/2022;16.47
01/09/2022;18.34
01/10/2022;26.2741935483871
01/11/2022;41.6422222222222
01/12/2022;45.1216129032258
01/01/2023;38.7870967741935
01/02/2023;37.6107142857143
01/03/2023;29.7654516129032
01/04/2023;29.5133333333333
01/05/2023;27.4225806451613
01/06/2023;27.53
01/07/2023;26.8161290322581
01/08/2023;25.0633333333333
01/09/2023;25.9833333333333
01/10/2023;29.8727272727273
01/11/2023;32
01/12/2023;51
01/01/2024;50
01/02/2024;55
01/03/2024;33
01/04/2024;27
01/05/2024;23
01/06/2024;24
01/07/2024;25
